objectid,title,creator,publisher,date,date_text,description,label_writer,subject,location,latitude,longitude,source,identifier,medium,type,format,language,rights,rightsstatement,display_template,purl,object_location,image_small,image_thumb,image_alt_text,object_transcript,iiif_url
ant320_01,Branding Slaves,William O. Blake,H. Miller,1860,1860,A print depicting an enslaved African woman being branded.,Basil Morris,Slavery; Slave Branding,,,,"William O. Blake, <em>The History of Slavery and the Slave Trade</em> (H. Miller, 1860), 97.",,Engraving,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.slaveryimages.org/database/image-result.php?objectid=979,/objects/blake-branding.jpg,/objects/small/blake-branding_sm.jpg,/objects/thumbs/blake-branding_th.jpg,Print depicting three white men branding five black slaves.,,
ant320_02,"Stowage of the British slave ship ""Brookes"" under the Regulated Slave Trade Act of 1788",Unknown,,1778,1778,A print depicting how slaves were stowed on a British slave ship named Brookes.,Basil Morris,Slavery; Slave Ships,,,,Library of Congress Prints and Photographs,98504459,Engraving,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.loc.gov/pictures/resource/cph.3a44236/,/objects/98504459.jpg,/objects/small/98504459_sm.jpg,/objects/thumbs/98504459_th.jpg,"Stowage of the British slave ship ""Brookes"" under the Regulated Slave Trade Act of 1788",,
ant320_03,"[Iron mask, collar, leg shackles and spurs used to restrict slaves]",Samuel Wood,,1807,1807,A print depicting various restraints used on slaves.,Basil Morris,Slavery; Slave Restraints,,,,Library of Congress Prints and Photographs,98504457,Engraving,Image;StillImage,image/jpeg,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.loc.gov/pictures/item/98504457/,/objects/98504457.jpg,/objects/small/98504457_sm.jpg,/objects/thumbs/98504457_th.jpg,"[Iron mask, collar, leg shackles and spurs used to restrict slaves]",,
ant320_04,Scourged Back,McPherson & Oliver,,1863,"April 2, 1863",A photograph of an escaped man named Peter and his scars from being whipped by his enslavers.,Basil Morris,Slavery; Scoured Back,,,,"Liljenquist Family collection, Library of Congress Prints and Photographs",2018648117,Photographic print,Image;StillImage,image/jpeg,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.loc.gov/pictures/item/2018648117/,/objects/2018648117.jpg,/objects/small/2018648117_sm.jpg,/objects/thumbs/2018648117_th.jpg,"[Escaped slave Gordon, also known as ""Whipped Peter,"" showing his scarred back at a medical examination, Baton Rouge, Louisiana]",,
ant320_05,The Growth of America,General Drafting Company,,1960,1960,,Brookie Arena,Westward Expansion; Trails,,,,Osher Map Library Collection,55597,Map,Image;StillImage,image/jpeg,en,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,iiif,https://oshermaps.org/map/55597.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-116457/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-116457/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/55597_sm.jpg,/objects/thumbs/55597_th.jpg,Map of the United States showing major routes of migration and dates of western expansion.,,
ant320_06,"Mount Rushmore, South Dakota, where living rock eternalizes the nation's progress",Unknown,,1950,[between 1950 and 1960],,Brookie Arena,Monument; Expansion; Manifest Destiny,"Mount Rushmore, South Dakota",43.88024807,-103.4588541,Library of Congress Prints and Photographs,2018653002,Photographic print,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://lccn.loc.gov/2018653002,/objects/2018653002.jpg,/objects/small/2018653002_sm.jpg,/objects/thumbs/2018653002_th.jpg,Black and white stereograph of Mouth Rushmore in South Dakota.,,
ant320_07,"Gateway Arch, or Gateway to the West, the centerpiece of the Jefferson National Expansion Memorial, St. Louis, Missouri",Carol M. Highsmith,,1980,[between 1980-2006],"In St. Louis, the Gateway Arch, was built to memorialize westward expansion. The structure is the tallest man-made monument in the United States at 630 feet.",Brookie Arena,Monument; Westward Expansion; St. Louis,"St. Louis, Missouri",38.6245895,-90.18509564,"Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division",2011636061,Photographic print,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://lccn.loc.gov/2011636061,/objects/2011636061.jpg,/objects/small/2011636061_sm.jpg,/objects/thumbs/2011636061_th.jpg,"Black and white photograph of the Gateway Arch, or Gateway to the West, the centerpiece of the Jefferson National Expansion Memorial, St. Louis, Missouri.",,
ant320_08,Devils Tower,John C. H. Grabill,,1890,1890,"Located in Wyoming, Devils Tower was made the first national monument under the Antiquities Act by Theodore Roosevelt in 1906 because of its scientific interest. ",Brookie Arena,Monument; Antiquities Act; Preservation,"Devils Tower, Wyoming",44.59057938,-104.7150861,Library of Congress Prints and Photographs,99613927,Photographic print,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://lccn.loc.gov/99613927,/objects/99613927.jpg,/objects/small/99613927_sm.jpg,/objects/thumbs/99613927_th.jpg,Devil's Tower,,
ant320_09,Alcatraz. -- Indigenous peoples Thanksgiving. -- Celebrating 40 years of the American Indian Movement,Jesus Barraza,,2009,2009,Art celebrating 40 years of the American Indian Movement. Specifically celebrating the Alcatraz Occupation and what the Alcatraz Occupation meant for the American Indian Movement and for indigenous people’s rights in general.,Cameron Lounsbury,Alcatraz Occupation; American Indian Movement; Indigenous Rights,"Alcatraz Island, California",37.82667903,-122.4229509,"Library of Congress, Prints & Photographs Division, © Jesus Barraza, LC-DIG-ppmsca-76257",2022666754,Silkscreen print,Image;StillImage,image/jpeg,en,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,https://www.loc.gov/pictures/item/2022666754/,/objects/2022666754.jpg,/objects/small/2022666754_sm.jpg,/objects/thumbs/2022666754_th.jpg,Poster celebrating 40 year of the American Indian Movement with a pictuer of a Native American man with a feather seen in profile.,,
ant320_10,Support the American Indian Movement,,American Indian Movement,1968,[between 1968-1980],Poster created by the American Indian Movement promoting the movement and its values. The American Movement is the larger nationwide movement that the Alcatraz Occupation was a catalyst and inspiration for. ,Cameron Lounsbury,American Indian Movement; Indigenous Rights,,,,"Yanker poster collection, Library of Congress Prints and Photographs",2016648080,Screen print,Image;StillImage,image/jpeg,en,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,image,https://www.loc.gov/pictures/item/2016648080/,/objects/2016648080.jpg,/objects/small/2016648080_sm.jpg,/objects/thumbs/2016648080_th.jpg,Screen print poster urging support for the American Indian Movement.,,
